сountry	run_accession
USA	SRR8079909
USA	SRR8457072
USA	SRR16999587
USA	SRR8457071
USA	ERR854902
USA	SRR8079907
USA	ERR956690
USA	SRR5235371
USA	SRR8457070
USA	SRR8079905
USA	SRR16999439
USA	SRR8079908
USA	SRR8457066
USA	SRR8071027
USA	SRR8071024
USA	SRR8088116
USA	SRR8457068
USA	SRR11724314
USA	SRR16999634
USA	SRR8457065
USA	SRR8457064
USA	SRR16999635
USA	SRR8457069
USA	SRR8457067
Kenya	SRR10224175
Kenya	SRR10224176
Kenya	SRR10224177
Kenya	SRR10224170
Kenya	SRR10224183
Kenya	ERR6003020
Kenya	SRR10224169
Poland	ERR9837654
Poland	ERR352680
Poland	ERR9837972
Poland	ERR9837653
Poland	ERR9837837
Poland	ERR388411
Poland	ERR352686
Poland	ERR352734
Poland	ERR9837652
Poland	ERR352730
Poland	ERR9837840
Poland	ERR352722
Poland	ERR352728
Poland	ERR9837829
Poland	ERR9837824
Poland	ERR352720
Poland	ERR352698
Poland	ERR9837819
Poland	ERR9837969
Poland	ERR352696
Poland	ERR352724
Belarus	ERR352670
Belarus	ERR388379
Belarus	ERR350073
Belarus	ERR352660
Belarus	ERR350074
Belarus	ERR352664
Belarus	ERR352666
Sweden	ERR7985988
Sweden	ERR9837988
Sweden	ERR9838005
Sweden	ERR7985989
Sweden	ERR9837690
Sweden	ERR1448254
Sweden	ERR9839211
Sweden	ERR9837966
Sweden	ERR9838678
Sweden	ERR9839215
Sweden	ERR9837963
Sweden	ERR7986040
Norway	ERR3325194
Norway	ERR3325331
Norway	ERR3326032
Norway	ERR1469708
Norway	ERR3326004
Norway	ERR3326081
Norway	ERR9838548
Norway	ERR3325195
Norway	ERR3325200
Norway	ERR9837827
Norway	ERR3326092
Norway	ERR3325488
Norway	ERR9837825
Norway	ERR3325489
Norway	ERR9837822
Norway	ERR3326051
Norway	ERR3326122
Brazil	ERR3959407
Brazil	ERR3959621
Brazil	ERR3959585
Brazil	SRR8945055
Brazil	SRR8945086
Brazil	ERR3959382
Brazil	ERR3959643
France	ERR352674
France	ERR9839237
France	ERR9839236
France	ERR9839243
France	ERR9838407
France	ERR9838513
France	ERR9839440
France	ERR9839251
France	ERR1560952
France	ERR9839393
France	ERR1560951
France	ERR9839406
Belgium	ERR9838653
Belgium	ERR1528232
Belgium	ERR1528235
Belgium	ERR9838622
Belgium	ERR9838940
Belgium	ERR1528231
Belgium	ERR9838941
Belgium	ERR9838655
Belgium	ERR9838942
Belgium	ERR9838616
Belgium	ERR1528233
Belgium	ERR9838627
Belgium	ERR9839329
Belgium	ERR9838601
Belgium	ERR9838646
Belgium	ERR9838428
Estonia	ERR9837880
Estonia	ERR350069
Estonia	ERR9837662
Estonia	ERR350068
Estonia	ERR9837875
Estonia	ERR9837871
Estonia	ERR352710
Estonia	ERR9838745
Estonia	ERR350070
Estonia	ERR350071
Estonia	ERR9838749
Estonia	ERR9838747
Estonia	ERR350072
Spain	ERR9837323
Spain	SRR12011632
Spain	SRR12011633
Spain	SRR12011630
Spain	SRR12011637
Spain	SRR12011625
Spain	SRR12011622
Spain	SRR12011628
Spain	SRR12011624
Australia	ERR2133938
Australia	SRR5801894
Australia	ERR2133979
Australia	SRR5801885
Latvia	ERR1549724
Latvia	ERR1549727
Latvia	ERR1549754
Latvia	ERR1549717
Latvia	ERR1549726
Latvia	ERR1549725
Latvia	ERR1549748
Latvia	ERR9838244
Latvia	ERR9838243
Latvia	ERR1549749
Latvia	ERR9838425
Germany	ERR1549715
Germany	ERR9839277
Germany	ERR1549716
Germany	ERR352672
Germany	ERR9838460
Germany	ERR9838458
Germany	ERR9838452
Germany	ERR9838455
Germany	ERR9838464
Slovakia	SRR16683533
Slovakia	ERR9838107
Slovakia	ERR9839414
Slovakia	ERR9839518
Slovakia	ERR9839459
Slovakia	SRR16683472
Slovakia	ERR9839517
Slovakia	SRR16683483
Slovakia	ERR9839247
Slovakia	ERR9839271
Slovakia	ERR9839269
Slovakia	ERR9839264
Slovakia	SRR16683494
Slovakia	ERR9839226
Ireland	ERR9838217
Ireland	SRR7226379
Ireland	SRR7226416
Ireland	SRR7226415
Ireland	SRR7226380
Ireland	ERR9838105
Ireland	SRR7226413
Ireland	ERR9838215
Ireland	ERR9838212
Ireland	SRR7226388
Ireland	ERR8007522
Ireland	ERR9837838
Ireland	SRR7226417
Ireland	SRR7226395
Ireland	SRR7226407
Ireland	ERR9838372
Ireland	SRR7226392
Ireland	SRR7226409
Ireland	ERR4198170
Japan	DRR117993
Japan	DRR124817
Japan	DRR124700
Japan	DRR124707
Japan	DRR124772
Japan	DRR117956
Japan	DRR124704
Japan	DRR124703
Japan	DRR124709
Japan	DRR124815
Japan	DRR124708
Japan	DRR124702
Japan	DRR117991
Japan	DRR124705
Japan	DRR124818
Japan	DRR117957
Japan	DRR124706
Japan	DRR124773
Japan	DRR124789
Japan	DRR124701
Japan	DRR124816
Japan	DRR117992
Japan	DRR124690
Japan	DRR124761
Japan	DRR124791
Japan	DRR124697
Japan	DRR124762
Japan	DRR124717
Japan	DRR124759
Japan	DRR124694
Japan	DRR124878
Japan	DRR124699
Japan	DRR124693
Japan	DRR124692
Japan	DRR124698
Japan	DRR124879
Japan	DRR124764
Japan	DRR124695
Japan	DRR124763
Japan	DRR124716
Japan	DRR124790
Japan	DRR124696
Japan	DRR117986
Japan	DRR124715
Japan	DRR124760
Japan	DRR124877
Japan	DRR244305
Japan	DRR124691
Japan	DRR124718
China	SRR4011643
China	SRR16683667
China	SRR4011644
China	SRR16683669
China	SRR16683664
China	SRR16683665
China	SRR16683668
China	SRR4011645
China	SRR16683666
China	SRR16683696
China	SRR16683707
China	SRR16683703
China	SRR16683597
China	SRR16683704
China	SRR16683813
China	SRR16683812
China	SRR16683609
China	SRR16683596
China	SRR4011629
China	SRR16683598
China	SRR16683789
China	SRR16683706
China	SRR16683811
UK	ERR3577514
UK	ERR3577513
UK	ERR9838077
UK	ERR3577331
UK	ERR9838040
UK	ERR9837714
UK	ERR9838036
UK	ERR3577515
UK	ERR9838044
UK	ERR9838335
Slovenia	ERR9838628
Slovenia	ERR9838625
Slovenia	ERR9838623
Slovenia	ERR9838620
Slovenia	ERR9838632
Slovenia	ERR9838236
Slovenia	SRR16683450
Slovenia	SRR16683461
Slovenia	ERR9838637
Slovenia	ERR9838642
Slovenia	ERR9838639
Slovenia	ERR9838634
Hungary	ERR9837884
Hungary	ERR9838712
Hungary	ERR9837974
Hungary	ERR9837886
Hungary	ERR9838708
Hungary	ERR1528217
Hungary	ERR1514724
Hungary	ERR9838706
Hungary	ERR9837967
Hungary	ERR1514725
Hungary	ERR9838704
Hungary	ERR9838956
India	SRR16683881
India	SRR16683726
India	SRR16683727
India	SRR16683729
India	SRR16683821
India	SRR16683817
India	SRR16683637
India	SRR16683892
India	SRR16683634
India	SRR16683819
India	SRR16683639
India	SRR16683822
India	SRR16683638
India	SRR16683823
India	SRR16683818
India	SRR16683640
India	SRR16683635
India	SRR16683824
India	SRR16683858
India	SRR16683636
India	SRR16683816
India	SRR16683820
Italy	ERR9837661
Italy	ERR1469646
Italy	ERR9837759
Italy	ERR9837660
Italy	ERR9837867
Italy	ERR1469655
Italy	ERR9837683
Cameroon	ERR363635
Cameroon	ERR363636
Cameroon	ERR6002994
Cameroon	ERR363633
Cameroon	ERR6003001
Cameroon	ERR363634
Cameroon	ERR6002987
Denmark	ERR502199
Denmark	ERR502197
Denmark	ERR9838877
Denmark	ERR502205
Denmark	ERR9837626
Denmark	ERR502204
Denmark	ERR502196
Denmark	ERR9838974
Denmark	ERR9838872
Denmark	ERR502198
Denmark	ERR9837141
Denmark	ERR1528178
Denmark	ERR9838869
Denmark	ERR1528177
Denmark	ERR9837639
Denmark	ERR9838810
Denmark	ERR1514832
Philippines	ERR2799249
Philippines	ERR2799260
Philippines	ERR2799256
Philippines	ERR2799264
Philippines	ERR2799252
Philippines	ERR2799258
Philippines	ERR2799268
Philippines	ERR2799259
Philippines	ERR2799253
Philippines	ERR2799254
Philippines	ERR2799257
Philippines	ERR2799261
Thailand	ERR9668921
Thailand	ERR9668998
Thailand	ERR9668916
Thailand	ERR9668923
Thailand	ERR9668988
Thailand	ERR9668936
Thailand	ERR9668845
Thailand	ERR9668889
Thailand	ERR9668986
Thailand	ERR9668971
Thailand	ERR9669016
Thailand	SRR10350531
Thailand	ERR9668843
Thailand	ERR9668930
Austria	ERR9839066
Austria	ERR9839057
Austria	ERR9839065
Austria	ERR9838908
Austria	ERR9839058
Austria	ERR9837145
Austria	ERR9838984
Austria	ERR9838919
Austria	ERR9837153
Austria	ERR9839049
Austria	ERR9839081
Austria	ERR9839077
Austria	ERR9839073
Austria	ERR9838915
Austria	ERR1469629
Austria	ERR9838912
Finland	ERR9838507
Finland	ERR9838500
Finland	ERR9838260
Finland	ERR9838618
Finland	ERR9838256
Finland	ERR9838629
Finland	ERR9838264
Finland	ERR9838635
Finland	ERR9838638
Finland	ERR9838630
Finland	ERR9838511
Vietnam	ERR363640
Vietnam	ERR363609
Vietnam	ERR363638
Vietnam	ERR363607
Vietnam	ERR363643
Vietnam	ERR363649
Vietnam	ERR363648
Vietnam	ERR363642
Vietnam	ERR363637
Vietnam	ERR363639
Vietnam	ERR363608
Vietnam	ERR363641
Vietnam	ERR363653
Vietnam	ERR363654
Vietnam	ERR363657
Vietnam	ERR363650
Vietnam	ERR363651
Vietnam	ERR363656
Vietnam	ERR363655
Vietnam	ERR363652
